Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20140601;1;668,775;
20140601;2;522,163;
20140601;3;500,563;
20140601;4;481,825;
20140601;5;446,538;
20140601;6;382,138;
20140601;7;297,763;
20140601;8;249,338;
20140601;9;281,925;
20140601;10;334,125;
20140601;11;456,163;
20140601;12;552,325;
20140601;13;715,888;
20140601;14;857,938;
20140601;15;898,963;
20140601;16;906,875;
20140601;17;996,413;
20140601;18;991,238;
20140601;19;910,938;
20140601;20;800,313;
20140601;21;907,325;
20140601;22;838,050;
20140601;23;864,938;
20140601;24;890,625;
20140602;1;792,850;
20140602;2;746,600;
20140602;3;705,313;
20140602;4;677,188;
20140602;5;699,975;
20140602;6;703,700;
20140602;7;666,013;
20140602;8;627,175;
20140602;9;657,550;
20140602;10;697,625;
20140602;11;714,725;
20140602;12;768,025;
20140602;13;749,800;
20140602;14;710,013;
20140602;15;727,675;
20140602;16;750,825;
20140602;17;712,213;
20140602;18;533,038;
20140602;19;502,063;
20140602;20;483,213;
20140602;21;422,925;
20140602;22;406,150;
20140602;23;383,325;
20140602;24;395,388;
20140603;1;325,100;
20140603;2;369,163;
20140603;3;288,638;
20140603;4;251,450;
20140603;5;218,550;
20140603;6;171,700;
20140603;7;170,700;
20140603;8;133,925;
20140603;9;114,188;
20140603;10;109,425;
20140603;11;103,650;
20140603;12;88,525;
20140603;13;92,013;
20140603;14;96,875;
20140603;15;88,638;
20140603;16;79,088;
20140603;17;70,838;
20140603;18;68,200;
20140603;19;55,388;
20140603;20;53,938;
20140603;21;53,725;
20140603;22;63,363;
20140603;23;69,750;
20140603;24;98,025;
20140604;1;104,313;
20140604;2;101,075;
20140604;3;92,725;
20140604;4;82,863;
20140604;5;77,050;
20140604;6;73,300;
20140604;7;43,925;
20140604;8;29,700;
20140604;9;18,263;
20140604;10;30,688;
20140604;11;36,125;
20140604;12;45,000;
20140604;13;59,075;
20140604;14;88,325;
20140604;15;132,988;
20140604;16;236,438;
20140604;17;318,525;
20140604;18;344,800;
20140604;19;315,363;
20140604;20;250,250;
20140604;21;224,050;
20140604;22;292,500;
20140604;23;325,875;
20140604;24;369,450;
20140605;1;422,525;
20140605;2;477,475;
20140605;3;512,625;
20140605;4;486,750;
20140605;5;495,925;
20140605;6;492,325;
20140605;7;415,750;
20140605;8;215,488;
20140605;9;132,800;
20140605;10;192,713;
20140605;11;346,675;
20140605;12;470,038;
20140605;13;588,825;
20140605;14;696,775;
20140605;15;831,975;
20140605;16;792,275;
20140605;17;595,875;
20140605;18;453,100;
20140605;19;426,875;
20140605;20;414,500;
20140605;21;322,725;
20140605;22;232,475;
20140605;23;187,913;
20140605;24;230,600;
20140606;1;200,300;
20140606;2;194,800;
20140606;3;199,225;
20140606;4;163,538;
20140606;5;189,488;
20140606;6;164,150;
20140606;7;158,388;
20140606;8;93,675;
20140606;9;55,288;
20140606;10;72,338;
20140606;11;88,500;
20140606;12;100,863;
20140606;13;152,375;
20140606;14;148,050;
20140606;15;101,975;
20140606;16;101,750;
20140606;17;93,413;
20140606;18;101,988;
20140606;19;93,313;
20140606;20;124,813;
20140606;21;179,988;
20140606;22;356,363;
20140606;23;563,213;
20140606;24;746,663;
20140607;1;821,663;
20140607;2;823,775;
20140607;3;773,138;
20140607;4;755,550;
20140607;5;742,738;
20140607;6;754,963;
20140607;7;659,175;
20140607;8;362,175;
20140607;9;235,750;
20140607;10;363,025;
20140607;11;396,588;
20140607;12;421,788;
20140607;13;435,775;
20140607;14;414,488;
20140607;15;405,325;
20140607;16;405,288;
20140607;17;393,213;
20140607;18;367,300;
20140607;19;367,300;
20140607;20;359,000;
20140607;21;412,200;
20140607;22;543,250;
20140607;23;674,163;
20140607;24;823,713;
20140608;1;815,750;
20140608;2;850,050;
20140608;3;814,250;
20140608;4;725,938;
20140608;5;634,125;
20140608;6;621,563;
20140608;7;425,650;
20140608;8;266,763;
20140608;9;165,175;
20140608;10;139,575;
20140608;11;108,425;
20140608;12;89,225;
20140608;13;101,038;
20140608;14;129,963;
20140608;15;183,450;
20140608;16;168,788;
20140608;17;137,175;
20140608;18;125,625;
20140608;19;110,100;
20140608;20;119,725;
20140608;21;174,100;
20140608;22;275,475;
20140608;23;421,050;
20140608;24;611,225;
20140609;1;606,813;
20140609;2;630,650;
20140609;3;774,213;
20140609;4;676,438;
20140609;5;665,013;
20140609;6;753,975;
20140609;7;589,225;
20140609;8;502,025;
20140609;9;302,675;
20140609;10;258,663;
20140609;11;171,900;
20140609;12;158,238;
20140609;13;210,888;
20140609;14;291,438;
20140609;15;317,463;
20140609;16;238,600;
20140609;17;206,775;
20140609;18;151,413;
20140609;19;124,500;
20140609;20;183,400;
20140609;21;279,875;
20140609;22;360,700;
20140609;23;447,463;
20140609;24;468,063;
20140610;1;442,550;
20140610;2;397,063;
20140610;3;370,838;
20140610;4;384,163;
20140610;5;285,525;
20140610;6;238,450;
20140610;7;219,800;
20140610;8;187,863;
20140610;9;136,125;
20140610;10;251,513;
20140610;11;208,063;
20140610;12;218,163;
20140610;13;338,713;
20140610;14;324,813;
20140610;15;250,200;
20140610;16;239,450;
20140610;17;262,225;
20140610;18;259,225;
20140610;19;221,900;
20140610;20;237,588;
20140610;21;350,063;
20140610;22;522,300;
20140610;23;757,225;
20140610;24;855,375;
20140611;1;779,350;
20140611;2;744,688;
20140611;3;742,838;
20140611;4;740,238;
20140611;5;770,688;
20140611;6;573,125;
20140611;7;421,775;
20140611;8;217,400;
20140611;9;132,513;
20140611;10;99,900;
20140611;11;104,738;
20140611;12;112,450;
20140611;13;116,663;
20140611;14;118,013;
20140611;15;132,188;
20140611;16;181,525;
20140611;17;272,963;
20140611;18;231,188;
20140611;19;172,850;
20140611;20;189,075;
20140611;21;208,975;
20140611;22;248,725;
20140611;23;359,263;
20140611;24;388,475;
20140612;1;336,938;
20140612;2;427,963;
20140612;3;483,913;
20140612;4;587,500;
20140612;5;585,125;
20140612;6;663,125;
20140612;7;645,813;
20140612;8;615,788;
20140612;9;709,763;
20140612;10;797,888;
20140612;11;932,850;
20140612;12;1038,600;
20140612;13;1295,325;
20140612;14;1429,763;
20140612;15;1511,550;
20140612;16;1628,363;
20140612;17;1804,588;
20140612;18;1787,288;
20140612;19;1659,463;
20140612;20;1373,563;
20140612;21;1194,700;
20140612;22;1166,425;
20140612;23;1202,563;
20140612;24;1186,113;
20140613;1;1219,463;
20140613;2;1310,650;
20140613;3;1261,250;
20140613;4;1181,725;
20140613;5;1159,113;
20140613;6;1094,375;
20140613;7;1017,450;
20140613;8;1025,175;
20140613;9;1162,238;
20140613;10;1440,000;
20140613;11;1647,125;
20140613;12;1857,738;
20140613;13;2021,775;
20140613;14;2035,000;
20140613;15;1976,313;
20140613;16;1780,600;
20140613;17;1795,513;
20140613;18;1655,713;
20140613;19;1483,200;
20140613;20;1205,863;
20140613;21;1006,738;
20140613;22;1009,500;
20140613;23;1026,625;
20140613;24;1014,788;
20140614;1;906,925;
20140614;2;868,163;
20140614;3;754,613;
20140614;4;703,663;
20140614;5;671,625;
20140614;6;594,275;
20140614;7;554,350;
20140614;8;563,338;
20140614;9;659,850;
20140614;10;894,913;
20140614;11;1000,725;
20140614;12;1104,525;
20140614;13;1063,800;
20140614;14;1174,125;
20140614;15;1288,700;
20140614;16;1374,875;
20140614;17;1396,550;
20140614;18;1240,475;
20140614;19;1104,550;
20140614;20;854,688;
20140614;21;806,238;
20140614;22;733,088;
20140614;23;756,525;
20140614;24;755,325;
20140615;1;741,313;
20140615;2;747,300;
20140615;3;717,525;
20140615;4;651,900;
20140615;5;633,225;
20140615;6;658,538;
20140615;7;551,338;
20140615;8;573,638;
20140615;9;601,213;
20140615;10;603,175;
20140615;11;539,950;
20140615;12;546,950;
20140615;13;518,450;
20140615;14;477,388;
20140615;15;422,263;
20140615;16;390,050;
20140615;17;322,250;
20140615;18;247,688;
20140615;19;247,225;
20140615;20;162,800;
20140615;21;142,275;
20140615;22;211,075;
20140615;23;258,100;
20140615;24;248,500;
20140616;1;259,638;
20140616;2;306,163;
20140616;3;263,950;
20140616;4;239,975;
20140616;5;233,913;
20140616;6;218,925;
20140616;7;182,225;
20140616;8;91,875;
20140616;9;55,275;
20140616;10;63,175;
20140616;11;87,175;
20140616;12;114,688;
20140616;13;123,413;
20140616;14;156,138;
20140616;15;190,675;
20140616;16;181,763;
20140616;17;158,888;
20140616;18;157,800;
20140616;19;150,338;
20140616;20;127,788;
20140616;21;154,400;
20140616;22;159,563;
20140616;23;173,900;
20140616;24;157,700;
20140617;1;192,138;
20140617;2;182,963;
20140617;3;180,275;
20140617;4;234,188;
20140617;5;255,675;
20140617;6;216,200;
20140617;7;128,650;
20140617;8;50,700;
20140617;9;37,013;
20140617;10;32,513;
20140617;11;22,525;
20140617;12;48,275;
20140617;13;111,675;
20140617;14;155,663;
20140617;15;219,838;
20140617;16;262,188;
20140617;17;362,600;
20140617;18;394,675;
20140617;19;337,900;
20140617;20;287,375;
20140617;21;233,238;
20140617;22;268,850;
20140617;23;257,788;
20140617;24;210,250;
20140618;1;136,838;
20140618;2;165,675;
20140618;3;257,675;
20140618;4;344,500;
20140618;5;431,400;
20140618;6;487,475;
20140618;7;371,575;
20140618;8;213,063;
20140618;9;204,838;
20140618;10;368,763;
20140618;11;451,775;
20140618;12;576,313;
20140618;13;642,263;
20140618;14;719,363;
20140618;15;805,800;
20140618;16;801,663;
20140618;17;819,775;
20140618;18;798,200;
20140618;19;657,688;
20140618;20;461,225;
20140618;21;335,850;
20140618;22;333,175;
20140618;23;348,250;
20140618;24;361,500;
20140619;1;354,950;
20140619;2;461,338;
20140619;3;571,288;
20140619;4;588,200;
20140619;5;710,163;
20140619;6;805,775;
20140619;7;725,150;
20140619;8;652,000;
20140619;9;693,538;
20140619;10;1019,538;
20140619;11;1290,900;
20140619;12;1458,088;
20140619;13;1657,925;
20140619;14;1691,338;
20140619;15;1652,025;
20140619;16;1757,663;
20140619;17;1785,750;
20140619;18;1795,825;
20140619;19;1813,500;
20140619;20;1671,850;
20140619;21;1477,275;
20140619;22;1369,075;
20140619;23;1384,825;
20140619;24;1390,213;
20140620;1;1421,050;
20140620;2;1653,875;
20140620;3;1771,450;
20140620;4;1748,013;
20140620;5;1617,188;
20140620;6;1382,238;
20140620;7;1308,413;
20140620;8;1302,050;
20140620;9;1173,688;
20140620;10;1116,313;
20140620;11;1037,613;
20140620;12;1025,138;
20140620;13;1038,150;
20140620;14;977,850;
20140620;15;1010,188;
20140620;16;989,850;
20140620;17;878,925;
20140620;18;762,225;
20140620;19;720,588;
20140620;20;562,150;
20140620;21;446,425;
20140620;22;512,125;
20140620;23;555,850;
20140620;24;692,763;
20140621;1;745,088;
20140621;2;735,088;
20140621;3;749,338;
20140621;4;767,838;
20140621;5;672,713;
20140621;6;708,775;
20140621;7;723,575;
20140621;8;765,775;
20140621;9;948,600;
20140621;10;1111,313;
20140621;11;1313,563;
20140621;12;1309,113;
20140621;13;1548,188;
20140621;14;1573,750;
20140621;15;1549,813;
20140621;16;1483,138;
20140621;17;1288,188;
20140621;18;1268,513;
20140621;19;1275,100;
20140621;20;1306,113;
20140621;21;1452,413;
20140621;22;1508,625;
20140621;23;1679,850;
20140621;24;1671,063;
20140622;1;1565,825;
20140622;2;1442,975;
20140622;3;1341,500;
20140622;4;1291,988;
20140622;5;1259,175;
20140622;6;1154,488;
20140622;7;949,213;
20140622;8;980,500;
20140622;9;1031,050;
20140622;10;1153,038;
20140622;11;1256,650;
20140622;12;1505,350;
20140622;13;1812,900;
20140622;14;1869,388;
20140622;15;1721,400;
20140622;16;1611,150;
20140622;17;1561,450;
20140622;18;1487,825;
20140622;19;1235,513;
20140622;20;1032,250;
20140622;21;855,325;
20140622;22;895,625;
20140622;23;1172,975;
20140622;24;1251,663;
20140623;1;1307,775;
20140623;2;1280,963;
20140623;3;1404,213;
20140623;4;1361,650;
20140623;5;1409,613;
20140623;6;1216,150;
20140623;7;1123,525;
20140623;8;1008,663;
20140623;9;1152,700;
20140623;10;1376,775;
20140623;11;1440,875;
20140623;12;1464,175;
20140623;13;1402,488;
20140623;14;1529,238;
20140623;15;1640,613;
20140623;16;1642,825;
20140623;17;1588,413;
20140623;18;1400,300;
20140623;19;1223,625;
20140623;20;1012,813;
20140623;21;777,463;
20140623;22;765,988;
20140623;23;855,913;
20140623;24;929,525;
20140624;1;884,288;
20140624;2;899,450;
20140624;3;751,338;
20140624;4;730,113;
20140624;5;626,350;
20140624;6;552,350;
20140624;7;364,938;
20140624;8;260,600;
20140624;9;245,425;
20140624;10;370,525;
20140624;11;482,263;
20140624;12;547,563;
20140624;13;593,750;
20140624;14;552,563;
20140624;15;569,238;
20140624;16;561,788;
20140624;17;510,225;
20140624;18;443,600;
20140624;19;308,588;
20140624;20;212,800;
20140624;21;199,888;
20140624;22;209,188;
20140624;23;242,163;
20140624;24;373,663;
20140625;1;375,338;
20140625;2;294,863;
20140625;3;234,625;
20140625;4;227,025;
20140625;5;226,500;
20140625;6;197,125;
20140625;7;137,650;
20140625;8;77,038;
20140625;9;77,025;
20140625;10;94,575;
20140625;11;85,175;
20140625;12;108,188;
20140625;13;186,775;
20140625;14;292,150;
20140625;15;353,700;
20140625;16;409,963;
20140625;17;516,513;
20140625;18;717,850;
20140625;19;614,713;
20140625;20;584,888;
20140625;21;528,563;
20140625;22;555,163;
20140625;23;621,213;
20140625;24;686,538;
20140626;1;674,625;
20140626;2;649,863;
20140626;3;594,063;
20140626;4;597,963;
20140626;5;598,300;
20140626;6;544,963;
20140626;7;361,238;
20140626;8;324,838;
20140626;9;364,525;
20140626;10;293,825;
20140626;11;244,388;
20140626;12;251,588;
20140626;13;225,975;
20140626;14;227,175;
20140626;15;193,725;
20140626;16;227,713;
20140626;17;278,000;
20140626;18;275,538;
20140626;19;228,025;
20140626;20;176,563;
20140626;21;220,963;
20140626;22;242,538;
20140626;23;181,975;
20140626;24;148,625;
20140627;1;150,025;
20140627;2;119,800;
20140627;3;130,200;
20140627;4;132,663;
20140627;5;155,425;
20140627;6;103,013;
20140627;7;49,650;
20140627;8;30,975;
20140627;9;29,788;
20140627;10;37,013;
20140627;11;38,038;
20140627;12;41,825;
20140627;13;56,888;
20140627;14;71,138;
20140627;15;59,763;
20140627;16;77,838;
20140627;17;105,300;
20140627;18;128,088;
20140627;19;152,650;
20140627;20;188,675;
20140627;21;269,538;
20140627;22;457,600;
20140627;23;638,463;
20140627;24;818,038;
20140628;1;1008,563;
20140628;2;1136,550;
20140628;3;1163,913;
20140628;4;1114,938;
20140628;5;1129,950;
20140628;6;1038,588;
20140628;7;848,725;
20140628;8;553,038;
20140628;9;362,400;
20140628;10;333,075;
20140628;11;395,013;
20140628;12;527,975;
20140628;13;509,100;
20140628;14;402,588;
20140628;15;522,613;
20140628;16;460,025;
20140628;17;308,888;
20140628;18;324,750;
20140628;19;469,950;
20140628;20;387,700;
20140628;21;523,125;
20140628;22;571,113;
20140628;23;560,213;
20140628;24;683,925;
20140629;1;712,188;
20140629;2;776,075;
20140629;3;749,000;
20140629;4;665,038;
20140629;5;699,350;
20140629;6;681,975;
20140629;7;640,100;
20140629;8;565,400;
20140629;9;532,175;
20140629;10;584,338;
20140629;11;692,200;
20140629;12;778,888;
20140629;13;901,763;
20140629;14;1019,575;
20140629;15;1129,075;
20140629;16;991,500;
20140629;17;994,138;
20140629;18;926,825;
20140629;19;764,313;
20140629;20;657,450;
20140629;21;669,663;
20140629;22;541,063;
20140629;23;493,063;
20140629;24;411,575;
20140630;1;455,113;
20140630;2;405,038;
20140630;3;370,625;
20140630;4;407,813;
20140630;5;290,925;
20140630;6;260,013;
20140630;7;180,775;
20140630;8;216,363;
20140630;9;256,238;
20140630;10;243,500;
20140630;11;238,775;
20140630;12;269,100;
20140630;13;372,363;
20140630;14;376,650;
20140630;15;377,900;
20140630;16;343,650;
20140630;17;439,813;
20140630;18;354,888;
20140630;19;335,688;
20140630;20;309,825;
20140630;21;291,413;
20140630;22;323,425;
20140630;23;384,300;
20140630;24;522,588;
