Date,Time,Total_Wind_Power(MWh)
20170501,1,2497.778
20170501,2,2418.674
20170501,3,2469.088
20170501,4,2560.629
20170501,5,2653.251
20170501,6,2680.664
20170501,7,2498.692
20170501,8,1898.053
20170501,9,1761.354
20170501,10,2170.223
20170501,11,2395.517
20170501,12,2490.589
20170501,13,2455.415
20170501,14,2488.1
20170501,15,2459.588
20170501,16,2512.43
20170501,17,2725.855
20170501,18,2830.54
20170501,19,2771.739
20170501,20,2543.702
20170501,21,2605.402
20170501,22,2858.189
20170501,23,2940.716
20170501,0,2853.118
20170502,1,2759.064
20170502,2,2739.791
20170502,3,2980.202
20170502,4,3015.802
20170502,5,2974.989
20170502,6,2903.087
20170502,7,2712.8
20170502,8,2502.442
20170502,9,3022.38
20170502,10,3663.502
20170502,11,3885.102
20170502,12,3858.767
20170502,13,3635.827
20170502,14,3532.96
20170502,15,3410.791
20170502,16,3126.579
20170502,17,2941.492
20170502,18,2807.892
20170502,19,2509.08
20170502,20,2092.254
20170502,21,1846.136
20170502,22,1640.264
20170502,23,1466.352
20170502,0,1334.13
20170503,1,1167.251
20170503,2,985.649
20170503,3,858.275
20170503,4,778.039
20170503,5,796.302
20170503,6,762.737
20170503,7,614.977
20170503,8,480.762
20170503,9,418.975
20170503,10,478.36
20170503,11,557.59
20170503,12,729.85
20170503,13,898.954
20170503,14,1126.102
20170503,15,1401.367
20170503,16,1589.091
20170503,17,1587.956
20170503,18,1567.9
20170503,19,1475.85
20170503,20,1549.555
20170503,21,1700.798
20170503,22,1751.226
20170503,23,1694.214
20170503,0,1749.303
20170504,1,1832.242
20170504,2,1995.752
20170504,3,2084.215
20170504,4,2209.59
20170504,5,2245.977
20170504,6,2328.152
20170504,7,2364.929
20170504,8,2317.887
20170504,9,2352.291
20170504,10,2290.95
20170504,11,2263.6
20170504,12,2387.463
20170504,13,2517.2
20170504,14,2659.864
20170504,15,2678.176
20170504,16,2594.121
20170504,17,2538.024
20170504,18,2500.001
20170504,19,2448.16
20170504,20,2343.762
20170504,21,2307.925
20170504,22,2350.063
20170504,23,2302.06
20170504,0,2219.636
20170505,1,2060.848
20170505,2,1843.728
20170505,3,1677.549
20170505,4,1455.762
20170505,5,1232.199
20170505,6,1017.097
20170505,7,889.26
20170505,8,644.948
20170505,9,436.827
20170505,10,288.762
20170505,11,207.999
20170505,12,122.919
20170505,13,84.825
20170505,14,57.36
20170505,15,57.358
20170505,16,84.744
20170505,17,79.515
20170505,18,117.069
20170505,19,180.461
20170505,20,202.099
20170505,21,412.909
20170505,22,613.883
20170505,23,739.234
20170505,0,771.871
20170506,1,749.135
20170506,2,761.387
20170506,3,812.584
20170506,4,858.149
20170506,5,825.171
20170506,6,754.438
20170506,7,668.986
20170506,8,484.934
20170506,9,313.695
20170506,10,246.294
20170506,11,217.982
20170506,12,218.507
20170506,13,225.725
20170506,14,265.75
20170506,15,277.812
20170506,16,293.438
20170506,17,324.204
20170506,18,413.274
20170506,19,499.034
20170506,20,604.661
20170506,21,573.149
20170506,22,646.887
20170506,23,536.017
20170506,0,443.051
20170507,1,365.096
20170507,2,382.411
20170507,3,486.526
20170507,4,431.387
20170507,5,438.598
20170507,6,500.71
20170507,7,473.373
20170507,8,461.01
20170507,9,544.476
20170507,10,707.01
20170507,11,755.55
20170507,12,882.387
20170507,13,1008.116
20170507,14,1206.202
20170507,15,1387.365
20170507,16,1620.663
20170507,17,1628.0
20170507,18,1611.027
20170507,19,1486.563
20170507,20,1251.713
20170507,21,1124.377
20170507,22,1269.642
20170507,23,1290.214
20170507,0,1166.38
20170508,1,1134.951
20170508,2,1153.998
20170508,3,1169.926
20170508,4,1219.639
20170508,5,1226.492
20170508,6,1172.438
20170508,7,1107.953
20170508,8,1125.149
20170508,9,1119.488
20170508,10,1096.5
20170508,11,1170.262
20170508,12,1326.76
20170508,13,1446.513
20170508,14,1750.936
20170508,15,2154.438
20170508,16,2492.187
20170508,17,2715.054
20170508,18,2871.74
20170508,19,2933.102
20170508,20,2759.83
20170508,21,2449.503
20170508,22,2290.164
20170508,23,2162.766
20170508,0,1969.526
20170509,1,1840.826
20170509,2,1780.354
20170509,3,1625.05
20170509,4,1555.178
20170509,5,1479.661
20170509,6,1290.237
20170509,7,1118.636
20170509,8,1216.698
20170509,9,1444.912
20170509,10,1292.612
20170509,11,1172.201
20170509,12,1193.826
20170509,13,1203.81
20170509,14,1278.353
20170509,15,1307.214
20170509,16,1328.789
20170509,17,1259.339
20170509,18,1086.063
20170509,19,922.951
20170509,20,687.311
20170509,21,489.699
20170509,22,460.435
20170509,23,468.775
20170509,0,614.426
20170510,1,757.551
20170510,2,824.937
20170510,3,817.492
20170510,4,865.585
20170510,5,883.841
20170510,6,933.828
20170510,7,972.231
20170510,8,939.801
20170510,9,811.839
20170510,10,992.664
20170510,11,1256.016
20170510,12,1599.267
20170510,13,1616.764
20170510,14,1625.724
20170510,15,1580.838
20170510,16,1383.037
20170510,17,1064.825
20170510,18,814.738
20170510,19,787.285
20170510,20,570.427
20170510,21,516.575
20170510,22,612.662
20170510,23,655.662
20170510,0,682.236
20170511,1,643.699
20170511,2,622.162
20170511,3,621.675
20170511,4,614.789
20170511,5,571.7
20170511,6,511.037
20170511,7,463.772
20170511,8,373.846
20170511,9,333.41
20170511,10,271.158
20170511,11,253.796
20170511,12,269.186
20170511,13,257.034
20170511,14,255.533
20170511,15,270.094
20170511,16,327.097
20170511,17,389.483
20170511,18,513.885
20170511,19,675.587
20170511,20,912.376
20170511,21,1208.424
20170511,22,1506.815
20170511,23,1789.13
20170511,0,1972.934
20170512,1,2106.8
20170512,2,2117.025
20170512,3,2103.802
20170512,4,2037.536
20170512,5,1933.042
20170512,6,1932.44
20170512,7,1567.237
20170512,8,959.163
20170512,9,778.25
20170512,10,791.525
20170512,11,866.505
20170512,12,963.151
20170512,13,976.988
20170512,14,927.628
20170512,15,856.615
20170512,16,851.775
20170512,17,920.026
20170512,18,1018.974
20170512,19,1092.578
20170512,20,1225.564
20170512,21,1514.106
20170512,22,1870.152
20170512,23,2032.741
20170512,0,1940.302
20170513,1,1781.642
20170513,2,1602.576
20170513,3,1456.94
20170513,4,1278.636
20170513,5,1161.205
20170513,6,1051.501
20170513,7,819.262
20170513,8,404.628
20170513,9,161.335
20170513,10,259.76
20170513,11,405.678
20170513,12,425.727
20170513,13,364.989
20170513,14,307.162
20170513,15,310.749
20170513,16,411.439
20170513,17,473.787
20170513,18,490.501
20170513,19,464.996
20170513,20,491.463
20170513,21,585.939
20170513,22,679.513
20170513,23,718.414
20170513,0,697.427
20170514,1,709.681
20170514,2,670.111
20170514,3,704.889
20170514,4,704.992
20170514,5,655.079
20170514,6,562.19
20170514,7,428.733
20170514,8,298.662
20170514,9,125.045
20170514,10,75.581
20170514,11,84.109
20170514,12,119.133
20170514,13,127.659
20170514,14,109.284
20170514,15,156.184
20170514,16,226.55
20170514,17,301.235
20170514,18,233.734
20170514,19,256.587
20170514,20,341.148
20170514,21,367.021
20170514,22,426.736
20170514,23,584.047
20170514,0,698.714
20170515,1,741.664
20170515,2,681.949
20170515,3,614.002
20170515,4,676.936
20170515,5,689.962
20170515,6,562.864
20170515,7,413.815
20170515,8,240.735
20170515,9,139.923
20170515,10,101.199
20170515,11,132.922
20170515,12,189.7
20170515,13,243.148
20170515,14,391.336
20170515,15,549.277
20170515,16,704.291
20170515,17,638.966
20170515,18,588.0
20170515,19,425.388
20170515,20,462.788
20170515,21,483.289
20170515,22,505.602
20170515,23,563.1
20170515,0,571.551
20170516,1,598.551
20170516,2,564.426
20170516,3,579.734
20170516,4,528.823
20170516,5,455.302
20170516,6,358.496
20170516,7,227.946
20170516,8,89.412
20170516,9,49.019
20170516,10,65.781
20170516,11,134.006
20170516,12,194.982
20170516,13,242.26
20170516,14,247.8
20170516,15,263.44
20170516,16,266.421
20170516,17,286.148
20170516,18,263.834
20170516,19,237.025
20170516,20,225.108
20170516,21,265.259
20170516,22,362.911
20170516,23,400.536
20170516,0,411.983
20170517,1,450.9
20170517,2,536.526
20170517,3,608.013
20170517,4,714.477
20170517,5,812.888
20170517,6,863.912
20170517,7,831.761
20170517,8,500.24
20170517,9,193.299
20170517,10,175.074
20170517,11,222.498
20170517,12,195.648
20170517,13,150.0
20170517,14,147.661
20170517,15,134.975
20170517,16,115.611
20170517,17,106.545
20170517,18,118.722
20170517,19,149.46
20170517,20,294.225
20170517,21,568.384
20170517,22,937.26
20170517,23,1278.189
20170517,0,1532.952
20170518,1,1631.891
20170518,2,1798.862
20170518,3,1860.051
20170518,4,1834.966
20170518,5,1849.728
20170518,6,1790.166
20170518,7,1414.314
20170518,8,803.5
20170518,9,456.902
20170518,10,513.189
20170518,11,730.402
20170518,12,916.962
20170518,13,942.541
20170518,14,912.66
20170518,15,946.453
20170518,16,1078.872
20170518,17,1122.964
20170518,18,1146.552
20170518,19,1176.088
20170518,20,1195.903
20170518,21,1494.088
20170518,22,2015.076
20170518,23,2364.372
20170518,0,2586.61
20170519,1,2657.613
20170519,2,2615.525
20170519,3,2460.227
20170519,4,2306.863
20170519,5,2248.237
20170519,6,2164.378
20170519,7,1775.462
20170519,8,992.59
20170519,9,577.391
20170519,10,628.316
20170519,11,949.701
20170519,12,1407.95
20170519,13,1458.411
20170519,14,1342.128
20170519,15,1251.452
20170519,16,1260.504
20170519,17,1244.263
20170519,18,1230.012
20170519,19,1291.101
20170519,20,1465.188
20170519,21,1816.163
20170519,22,2381.572
20170519,23,2521.104
20170519,0,2437.326
20170520,1,2319.225
20170520,2,2218.601
20170520,3,2065.351
20170520,4,1861.526
20170520,5,1704.704
20170520,6,1485.727
20170520,7,1261.663
20170520,8,934.863
20170520,9,978.76
20170520,10,1225.822
20170520,11,1276.064
20170520,12,1215.635
20170520,13,1248.7
20170520,14,1292.098
20170520,15,1387.936
20170520,16,1615.06
20170520,17,1900.262
20170520,18,2359.214
20170520,19,2381.751
20170520,20,2315.479
20170520,21,2330.879
20170520,22,2269.728
20170520,23,2108.953
20170520,0,2029.639
20170521,1,2015.339
20170521,2,1986.14
20170521,3,1943.387
20170521,4,1889.787
20170521,5,1972.301
20170521,6,1945.401
20170521,7,1780.127
20170521,8,1674.839
20170521,9,1727.064
20170521,10,1820.364
20170521,11,1960.798
20170521,12,2066.012
20170521,13,2208.64
20170521,14,2408.114
20170521,15,2554.638
20170521,16,2514.724
20170521,17,2429.362
20170521,18,2388.127
20170521,19,2333.403
20170521,20,2028.012
20170521,21,1939.052
20170521,22,1869.047
20170521,23,1726.712
20170521,0,1584.278
20170522,1,1460.364
20170522,2,1319.7
20170522,3,1155.202
20170522,4,994.637
20170522,5,898.002
20170522,6,760.976
20170522,7,512.489
20170522,8,301.421
20170522,9,193.508
20170522,10,195.422
20170522,11,241.348
20170522,12,237.748
20170522,13,268.014
20170522,14,287.864
20170522,15,342.074
20170522,16,362.111
20170522,17,374.684
20170522,18,374.236
20170522,19,323.85
20170522,20,239.861
20170522,21,263.863
20170522,22,344.548
20170522,23,364.298
20170522,0,366.998
20170523,1,349.313
20170523,2,325.797
20170523,3,295.311
20170523,4,276.12
20170523,5,250.259
20170523,6,209.736
20170523,7,210.122
20170523,8,159.059
20170523,9,80.986
20170523,10,119.761
20170523,11,178.045
20170523,12,221.987
20170523,13,234.172
20170523,14,242.272
20170523,15,281.475
20170523,16,314.386
20170523,17,343.674
20170523,18,277.259
20170523,19,185.424
20170523,20,154.809
20170523,21,178.66
20170523,22,315.961
20170523,23,436.037
20170523,0,343.372
20170524,1,464.875
20170524,2,565.514
20170524,3,823.771
20170524,4,1003.074
20170524,5,1150.048
20170524,6,1188.313
20170524,7,1093.996
20170524,8,1041.491
20170524,9,1021.25
20170524,10,938.362
20170524,11,995.149
20170524,12,1181.773
20170524,13,1356.424
20170524,14,1475.125
20170524,15,1594.2
20170524,16,1563.689
20170524,17,1502.739
20170524,18,1412.689
20170524,19,1324.389
20170524,20,1261.014
20170524,21,1074.028
20170524,22,1065.538
20170524,23,1161.162
20170524,0,1192.34
20170525,1,1140.565
20170525,2,1088.464
20170525,3,1040.655
20170525,4,1083.225
20170525,5,1021.886
20170525,6,874.314
20170525,7,609.404
20170525,8,400.413
20170525,9,309.487
20170525,10,380.227
20170525,11,542.45
20170525,12,653.652
20170525,13,783.39
20170525,14,878.99
20170525,15,966.564
20170525,16,1235.027
20170525,17,1293.95
20170525,18,1109.416
20170525,19,996.353
20170525,20,860.867
20170525,21,886.727
20170525,22,975.423
20170525,23,1230.827
20170525,0,1276.498
20170526,1,1213.936
20170526,2,1201.825
20170526,3,1078.401
20170526,4,1119.503
20170526,5,1177.676
20170526,6,1105.512
20170526,7,798.965
20170526,8,408.924
20170526,9,323.413
20170526,10,360.349
20170526,11,477.527
20170526,12,590.0
20170526,13,722.739
20170526,14,830.74
20170526,15,933.501
20170526,16,969.403
20170526,17,1033.439
20170526,18,1051.715
20170526,19,939.325
20170526,20,1009.487
20170526,21,866.714
20170526,22,923.524
20170526,23,957.425
20170526,0,911.402
20170527,1,857.524
20170527,2,838.049
20170527,3,758.574
20170527,4,714.008
20170527,5,594.32
20170527,6,501.584
20170527,7,317.121
20170527,8,112.742
20170527,9,79.744
20170527,10,112.993
20170527,11,123.344
20170527,12,114.706
20170527,13,115.019
20170527,14,111.332
20170527,15,121.871
20170527,16,123.76
20170527,17,107.321
20170527,18,111.859
20170527,19,112.908
20170527,20,109.919
20170527,21,152.845
20170527,22,244.673
20170527,23,364.535
20170527,0,515.783
20170528,1,752.591
20170528,2,1045.8
20170528,3,1285.386
20170528,4,1485.703
20170528,5,1521.789
20170528,6,1495.038
20170528,7,1275.537
20170528,8,765.237
20170528,9,442.635
20170528,10,611.478
20170528,11,709.274
20170528,12,847.689
20170528,13,1017.512
20170528,14,1171.436
20170528,15,1234.987
20170528,16,1299.526
20170528,17,1338.35
20170528,18,1271.852
20170528,19,1189.676
20170528,20,1190.135
20170528,21,1558.825
20170528,22,2114.842
20170528,23,2516.038
20170528,0,2687.462
20170529,1,2668.237
20170529,2,2643.938
20170529,3,2521.679
20170529,4,2409.861
20170529,5,2113.478
20170529,6,1846.048
20170529,7,1550.852
20170529,8,1206.229
20170529,9,1054.802
20170529,10,938.561
20170529,11,840.049
20170529,12,995.514
20170529,13,1088.052
20170529,14,1099.975
20170529,15,1178.3
20170529,16,1068.153
20170529,17,931.339
20170529,18,807.511
20170529,19,695.789
20170529,20,601.013
20170529,21,581.515
20170529,22,655.349
20170529,23,664.637
20170529,0,622.448
20170530,1,500.214
20170530,2,419.187
20170530,3,338.672
20170530,4,316.06
20170530,5,306.323
20170530,6,270.121
20170530,7,187.406
20170530,8,108.657
20170530,9,70.756
20170530,10,63.331
20170530,11,67.519
20170530,12,95.52
20170530,13,174.007
20170530,14,314.66
20170530,15,502.461
20170530,16,419.599
20170530,17,822.715
20170530,18,560.989
20170530,19,744.287
20170530,20,590.426
20170530,21,840.074
20170530,22,1264.327
20170530,23,1575.127
20170530,0,1774.442
20170531,1,2062.486
20170531,2,2110.215
20170531,3,2196.978
20170531,4,2138.065
20170531,5,2086.253
20170531,6,2063.924
20170531,7,2340.479
20170531,8,2753.074
20170531,9,3291.789
20170531,10,3504.075
20170531,11,3780.365
20170531,12,3928.186
20170531,13,4148.363
20170531,14,4284.838
20170531,15,4398.75
20170531,16,4303.29
20170531,17,4322.287
20170531,18,4308.579
20170531,19,4090.251
20170531,20,3714.239
20170531,21,3310.724
20170531,22,3169.301
20170531,23,3245.189
20170531,0,3091.088
