Date,Time,Total_Wind_Power(MWh)
20170201,1,510.848
20170201,2,417.461
20170201,3,327.662
20170201,4,334.213
20170201,5,321.486
20170201,6,294.587
20170201,7,239.111
20170201,8,263.411
20170201,9,230.460
20170201,10,176.258
20170201,11,123.910
20170201,12,95.609
20170201,13,104.406
20170201,14,85.582
20170201,15,109.532
20170201,16,167.746
20170201,17,214.285
20170201,18,314.498
20170201,19,358.003
20170201,20,401.674
20170201,21,426.775
20170201,22,469.450
20170201,23,540.309
20170201,0,545.065
20170202,1,522.936
20170202,2,488.499
20170202,3,432.201
20170202,4,460.886
20170202,5,485.599
20170202,6,447.774
20170202,7,427.986
20170202,8,438.311
20170202,9,416.353
20170202,10,396.721
20170202,11,346.637
20170202,12,291.821
20170202,13,261.373
20170202,14,254.659
20170202,15,251.581
20170202,16,290.846
20170202,17,339.324
20170202,18,459.874
20170202,19,503.086
20170202,20,609.386
20170202,21,692.802
20170202,22,585.449
20170202,23,556.887
20170202,0,457.663
20170203,1,405.047
20170203,2,397.610
20170203,3,373.998
20170203,4,347.736
20170203,5,308.210
20170203,6,337.998
20170203,7,373.200
20170203,8,401.477
20170203,9,436.358
20170203,10,459.950
20170203,11,441.887
20170203,12,413.074
20170203,13,443.386
20170203,14,453.023
20170203,15,529.736
20170203,16,668.277
20170203,17,762.986
20170203,18,893.213
20170203,19,983.391
20170203,20,1162.788
20170203,21,1279.102
20170203,22,1285.262
20170203,23,1218.676
20170203,0,1208.351
20170204,1,1172.359
20170204,2,1112.260
20170204,3,1033.925
20170204,4,1047.800
20170204,5,1066.913
20170204,6,1057.872
20170204,7,1098.887
20170204,8,1101.515
20170204,9,1038.339
20170204,10,996.210
20170204,11,983.487
20170204,12,955.210
20170204,13,881.838
20170204,14,845.127
20170204,15,860.816
20170204,16,900.564
20170204,17,959.312
20170204,18,1000.014
20170204,19,1033.013
20170204,20,1058.101
20170204,21,982.290
20170204,22,854.013
20170204,23,751.123
20170204,0,651.250
20170205,1,549.740
20170205,2,459.286
20170205,3,436.413
20170205,4,437.701
20170205,5,478.898
20170205,6,472.953
20170205,7,476.113
20170205,8,510.477
20170205,9,506.323
20170205,10,465.909
20170205,11,436.476
20170205,12,430.727
20170205,13,465.836
20170205,14,485.675
20170205,15,565.800
20170205,16,670.948
20170205,17,794.637
20170205,18,981.838
20170205,19,1025.563
20170205,20,1114.412
20170205,21,1102.522
20170205,22,927.100
20170205,23,735.787
20170205,0,786.123
20170206,1,822.886
20170206,2,789.927
20170206,3,733.014
20170206,4,737.725
20170206,5,713.388
20170206,6,573.848
20170206,7,558.339
20170206,8,557.738
20170206,9,533.025
20170206,10,510.575
20170206,11,448.660
20170206,12,381.685
20170206,13,360.072
20170206,14,399.647
20170206,15,516.337
20170206,16,606.789
20170206,17,658.573
20170206,18,643.575
20170206,19,639.412
20170206,20,669.935
20170206,21,654.614
20170206,22,662.200
20170206,23,668.563
20170206,0,691.076
20170207,1,656.236
20170207,2,713.713
20170207,3,763.437
20170207,4,754.551
20170207,5,745.349
20170207,6,824.186
20170207,7,895.439
20170207,8,969.312
20170207,9,1039.721
20170207,10,1062.672
20170207,11,1109.059
20170207,12,1115.724
20170207,13,1100.172
20170207,14,1049.323
20170207,15,1113.933
20170207,16,1203.878
20170207,17,1349.201
20170207,18,1420.689
20170207,19,1461.311
20170207,20,1447.223
20170207,21,1423.315
20170207,22,1455.237
20170207,23,1552.728
20170207,0,1647.564
20170208,1,1699.998
20170208,2,1648.201
20170208,3,1615.113
20170208,4,1682.887
20170208,5,1716.452
20170208,6,1701.512
20170208,7,1627.250
20170208,8,1547.624
20170208,9,1486.574
20170208,10,1423.177
20170208,11,1350.299
20170208,12,1265.500
20170208,13,1152.842
20170208,14,1003.234
20170208,15,1003.027
20170208,16,1012.373
20170208,17,1041.001
20170208,18,1050.860
20170208,19,983.714
20170208,20,914.373
20170208,21,786.250
20170208,22,717.475
