Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20130501;1;326,825;
20130501;2;269,825;
20130501;3;232,063;
20130501;4;192,013;
20130501;5;146,925;
20130501;6;117,713;
20130501;7;110,763;
20130501;8;64,575;
20130501;9;44,375;
20130501;10;36,213;
20130501;11;32,875;
20130501;12;39,913;
20130501;13;49,050;
20130501;14;67,725;
20130501;15;81,575;
20130501;16;98,213;
20130501;17;119,663;
20130501;18;128,050;
20130501;19;175,150;
20130501;20;171,450;
20130501;21;252,200;
20130501;22;354,300;
20130501;23;380,300;
20130501;24;390,138;
20130502;1;382,213;
20130502;2;351,763;
20130502;3;282,913;
20130502;4;303,025;
20130502;5;319,000;
20130502;6;314,963;
20130502;7;377,850;
20130502;8;282,400;
20130502;9;171,375;
20130502;10;219,338;
20130502;11;199,525;
20130502;12;128,938;
20130502;13;155,363;
20130502;14;180,163;
20130502;15;184,975;
20130502;16;234,425;
20130502;17;243,550;
20130502;18;252,975;
20130502;19;269,613;
20130502;20;251,013;
20130502;21;238,913;
20130502;22;274,700;
20130502;23;345,225;
20130502;24;451,413;
20130503;1;395,713;
20130503;2;422,888;
20130503;3;519,350;
20130503;4;564,063;
20130503;5;529,050;
20130503;6;537,450;
20130503;7;510,200;
20130503;8;472,050;
20130503;9;373,225;
20130503;10;322,525;
20130503;11;314,000;
20130503;12;343,863;
20130503;13;385,113;
20130503;14;465,763;
20130503;15;493,875;
20130503;16;460,975;
20130503;17;393,350;
20130503;18;344,213;
20130503;19;365,488;
20130503;20;308,388;
20130503;21;335,000;
20130503;22;347,200;
20130503;23;304,963;
20130503;24;263,450;
20130504;1;202,263;
20130504;2;161,538;
20130504;3;138,013;
20130504;4;127,688;
20130504;5;134,113;
20130504;6;113,638;
20130504;7;96,300;
20130504;8;51,913;
20130504;9;35,600;
20130504;10;26,188;
20130504;11;29,900;
20130504;12;25,100;
20130504;13;18,113;
20130504;14;27,388;
20130504;15;43,163;
20130504;16;69,538;
20130504;17;56,150;
20130504;18;33,050;
20130504;19;31,875;
20130504;20;61,575;
20130504;21;80,038;
20130504;22;123,600;
20130504;23;192,238;
20130504;24;219,513;
20130505;1;297,563;
20130505;2;436,238;
20130505;3;483,250;
20130505;4;424,788;
20130505;5;421,713;
20130505;6;432,400;
20130505;7;369,875;
20130505;8;252,900;
20130505;9;161,475;
20130505;10;234,750;
20130505;11;326,150;
20130505;12;396,125;
20130505;13;412,300;
20130505;14;390,513;
20130505;15;371,463;
20130505;16;374,250;
20130505;17;331,675;
20130505;18;266,650;
20130505;19;220,900;
20130505;20;164,338;
20130505;21;162,225;
20130505;22;219,663;
20130505;23;291,450;
20130505;24;313,300;
20130506;1;295,538;
20130506;2;277,713;
20130506;3;329,013;
20130506;4;418,138;
20130506;5;446,000;
20130506;6;477,925;
20130506;7;500,238;
20130506;8;287,163;
20130506;9;136,350;
20130506;10;111,425;
20130506;11;124,700;
20130506;12;151,638;
20130506;13;140,250;
20130506;14;145,888;
20130506;15;189,663;
20130506;16;271,938;
20130506;17;368,775;
20130506;18;416,325;
20130506;19;355,275;
20130506;20;314,400;
20130506;21;417,450;
20130506;22;578,775;
20130506;23;616,138;
20130506;24;656,238;
20130507;1;644,175;
20130507;2;692,225;
20130507;3;730,963;
20130507;4;701,325;
20130507;5;625,375;
20130507;6;521,500;
20130507;7;463,750;
20130507;8;393,975;
20130507;9;254,013;
20130507;10;191,238;
20130507;11;200,663;
20130507;12;276,675;
20130507;13;435,688;
20130507;14;569,950;
20130507;15;598,400;
20130507;16;568,375;
20130507;17;503,700;
20130507;18;488,938;
20130507;19;536,150;
20130507;20;561,725;
20130507;21;622,913;
20130507;22;694,975;
20130507;23;792,013;
20130507;24;741,538;
20130508;1;676,275;
20130508;2;637,463;
20130508;3;636,750;
20130508;4;618,375;
20130508;5;612,638;
